escala,motor,clase,nombre_consulta,regimen,repeticion,tiempo
5,oltp,agregacion_simple,consulta_1,caliente,4,0.002863599998818245
5,oltp,agregacion_simple,consulta_1,caliente,5,0.0025408000001334585
5,oltp,agregacion_simple,consulta_2,frio,0,0.05074909999893862
5,oltp,agregacion_simple,consulta_2,caliente,1,0.012491299999965122
5,oltp,agregacion_simple,consulta_2,caliente,2,0.012440299997251714
5,oltp,agregacion_simple,consulta_2,caliente,3,0.012560699997266056
5,oltp,agregacion_simple,consulta_2,caliente,4,0.011686600002576597
5,oltp,agregacion_simple,consulta_2,caliente,5,0.012797800001862925
5,oltp,agregacion_simple,consulta_3,frio,0,0.04307960000005551
5,oltp,agregacion_simple,consulta_3,caliente,1,0.015354200000729179
5,oltp,agregacion_simple,consulta_3,caliente,2,0.011745499999960884
5,oltp,agregacion_simple,consulta_3,caliente,3,0.01175110000258428
5,oltp,agregacion_simple,consulta_3,caliente,4,0.012318100001721177
5,oltp,agregacion_simple,consulta_3,caliente,5,0.011662200002319878
5,oltp,alta_selectividad,consulta_1,frio,0,0.014105600002949359
5,oltp,alta_selectividad,consulta_1,caliente,1,0.0004568999975163024
5,oltp,alta_selectividad,consulta_1,caliente,2,0.0003961000002163928
5,oltp,alta_selectividad,consulta_1,caliente,3,0.00025720000121509656
5,oltp,alta_selectividad,consulta_1,caliente,4,0.00023599999985890463
5,oltp,alta_selectividad,consulta_1,caliente,5,0.00023129999681259505
5,oltp,alta_selectividad,consulta_2,frio,0,0.011366200000338722
5,oltp,alta_selectividad,consulta_2,caliente,1,0.00033830000029411167
5,oltp,alta_selectividad,consulta_2,caliente,2,0.00021109999943291768
5,oltp,alta_selectividad,consulta_2,caliente,3,0.0002077999997709412
5,oltp,alta_selectividad,consulta_2,caliente,4,0.00021019999985583127
5,oltp,alta_selectividad,consulta_2,caliente,5,0.0002057999990938697
5,oltp,alta_selectividad,consulta_3,frio,0,0.01240499999767053
5,oltp,alta_selectividad,consulta_3,caliente,1,0.00041589999818825163
5,oltp,alta_selectividad,consulta_3,caliente,2,0.0004149999986111652
5,oltp,alta_selectividad,consulta_3,caliente,3,0.0003454000034253113
5,oltp,alta_selectividad,consulta_3,caliente,4,0.0002934000003733672
5,oltp,alta_selectividad,consulta_3,caliente,5,0.0003026999984285794
5,oltp,alta_selectividad_join,consulta_1,frio,0,0.007560599999123951
5,oltp,alta_selectividad_join,consulta_1,caliente,1,0.00036100000215810724
5,oltp,alta_selectividad_join,consulta_1,caliente,2,0.0002392999995208811
5,oltp,alta_selectividad_join,consulta_1,caliente,3,0.00020650000078603625
5,oltp,alta_selectividad_join,consulta_1,caliente,4,0.00018139999883715063
5,oltp,alta_selectividad_join,consulta_1,caliente,5,0.000176199999259552
5,oltp,alta_selectividad_join,consulta_2,frio,0,0.019316699999762932
5,oltp,alta_selectividad_join,consulta_2,caliente,1,0.0004352999967522919
5,oltp,alta_selectividad_join,consulta_2,caliente,2,0.000256199997238582
5,oltp,alta_selectividad_join,consulta_2,caliente,3,0.0002179000002797693
5,oltp,alta_selectividad_join,consulta_2,caliente,4,0.00020500000027823262
5,oltp,alta_selectividad_join,consulta_2,caliente,5,0.00020479999875533395
